google_place_id,name,address,city,rating,website,google_maps_url,types,imported_at
ChIJI6G6bIJGiEgRIrqc1yU29iE,The Buttery,"652 Argyle St, Glasgow G3 8UF",Glasgow,4.8,https://twofatladiesrestaurant.com/buttery,https://maps.google.com/?cid=2447202983681505826&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,british_restaurant|bar|seafood_restaurant|european_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:42.34755+00
ChIJl4U27Z9GiEgRzE5ZmzcIM14,The Citizen Glasgow,"24 St Vincent Pl, Glasgow G1 2EU",Glasgow,4.5,http://www.thecitizenglasgow.co.uk/,https://maps.google.com/?cid=6787778098300014284&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cocktail_bar|gastropub|british_restaurant|bar|european_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:42.34755+00
ChIJo79-hjNHiEgRxJFqBEn4P9w,The Duke's Umbrella,"363 Argyle St, Glasgow G2 8LT",Glasgow,4.7,http://www.dukesumbrella.com/,https://maps.google.com/?cid=15870676604367311300&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bar_and_grill|bar|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:42.34755+00
ChIJs5_qYwBHiEgR4woGAS__g08,The Iron Duke,"6 Royal Exchange Square, Glasgow G1 3AB",Glasgow,4.8,https://theirondukeglasgow.co.uk/,https://maps.google.com/?cid=5729703728291121891&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,british_restaurant|european_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:42.34755+00
ChIJwY_lWgBHiEgR9G2tzLy315E,"The Ivy Buchanan Street, Glasgow","106 Buchanan St, Glasgow G1 2NB",Glasgow,4.5,https://ivycollection.com/restaurants/the-ivy-glasgow/?utm_source=LocalGoogle&utm_medium=Organic,https://maps.google.com/?cid=10509070277007994356&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,british_restaurant|european_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:42.34755+00
ChIJ0-BL2p1GiEgR4kPDuVUxg0g,The Smokin' Fox,"6-8 Waterloo St, Glasgow G2 6DA",Glasgow,4.4,https://www.smokinfox.co.uk/,https://maps.google.com/?cid=5225074236938470370&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,restaurant|food|point_of_interest|establishment,2026-09-08 16:46:42.34755+00
ChIJu8dg0KFGiEgRBMUe2eYbRDA,The Spanish Butcher Glasgow,"80 Miller St, Glasgow G1 1DT",Glasgow,4.6,http://www.spanishbutcher.com/,https://maps.google.com/?cid=3477935490535965956&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,steak_house|spanish_restaurant|european_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:42.34755+00
ChIJwRQFci4he0gRqm8gUdzZuRM,Bacaro,"47 Castle St, Liverpool L2 9UB",Liverpool,4.7,https://www.salthousebacaro.co.uk/,https://maps.google.com/?cid=1421406697689214890&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,italian_restaurant|european_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:43.411071+00
ChIJa0nVRyEhe0gRzMOTQdJGt-8,Cowshed Liverpool,"104 Seel St, Liverpool L1 4BL",Liverpool,4.8,https://www.cowshedliverpool.co.uk/,https://maps.google.com/?cid=17273352764660106188&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,steak_house|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:43.411071+00
ChIJ9VHuS1she0gRN4wMYmgtKKI,Gaucho Liverpool,"7 Water St, Liverpool L2 0RD",Liverpool,4.4,http://www.gauchorestaurants.com/restaurants/liverpool/,https://maps.google.com/?cid=11684639159557590071&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,steak_house|cocktail_bar|wine_bar|south_american_restaurant|bar|fine_dining_restaurant|event_venue|restaurant|food|point_of_interest|service|establishment,2026-09-08 16:46:43.411071+00
